hint_saveload_save_touch	{key=ConfirmUI, mouse=DoubleClick, touch=Hold} Save to this slot; {key=SpecialAction} Delete saved game		{key=ConfirmUI, mouse=DoubleClick, touch=Hold} Sauvegarder à cet emplacement; {key=SpecialAction} Effacer la sauvegarde	{key=ConfirmUI, mouse=DoubleClick, touch=Hold} Auf diesem Platz speichern; {key=SpecialAction} Spielstand löschen	{key=ConfirmUI, mouse=DoubleClick, touch=Hold} Guardar en esta ranura; {key=SpecialAction} Borrar la partida guardada	{key=ConfirmUI, mouse=DoubleClick, touch=Hold} Salvar neste espaço; {key=SpecialAction} Deletar jogo salvo	{key=ConfirmUI, mouse=DoubleClick, touch=Hold} 保存到这个栏位; {key=SpecialAction} 删除已保存的游戏	{key=ConfirmUI, mouse=DoubleClick, touch=Hold} このスロットにセーブ; {key=SpecialAction} セーブデータを削除	{key=ConfirmUI, mouse=DoubleClick, touch=Hold} Сохранить в этот слот; {key=SpecialAction} Удалить сохранённую игру
									
hint_whistle_hold_touch	{id=whistle_hold, key=Use, mouse=LB, touch=Hold} Whistle		{id=whistle_hold, key=Use, mouse=LB, touch=Hold} Jouer de la flûte	{id=whistle_hold, key=Use, mouse=LB, touch=Hold} Flöte spielen	{id=whistle_hold, key=Use, mouse=LB, touch=Hold} Tocar la flauta	{id=whistle_hold, key=Use, mouse=LB, touch=Hold} Tocar a flauta	{id=whistle_hold, key=Use, mouse=LB, touch=Hold} 吹笛子	{id=whistle_hold, key=Use, mouse=LB, touch=Hold} 笛を吹く	{id=whistle_hold, key=Use, mouse=LB, touch=Hold} Свистеть
									
hint_settings_screen_with_reset_touch	{key=SpecialAction} Reset		{key=SpecialAction} Réinitialiser	{key=SpecialAction} Zurücksetzen	{key=SpecialAction} Restablecer	{key=SpecialAction} Reiniciar	{key=SpecialAction} 重置	{key=SpecialAction} リセット	{key=SpecialAction} Сбросить
									
hint_mail_attachment_touch	{key=ConfirmUI, mouse=LB, touch=Tap} Collect item		{key=ConfirmUI, mouse=LB, touch=Tap} Récupérer l'objet	{key=ConfirmUI, mouse=LB, touch=Tap} Nehmen	{key=ConfirmUI, mouse=LB, touch=Tap} Recoger objeto	{key=ConfirmUI, mouse=LB, touch=Tap} Coletar item	{key=ConfirmUI, mouse=LB, touch=Tap} 收集物品	{key=ConfirmUI, mouse=LB, touch=Tap} アイテムを集める	{key=ConfirmUI, mouse=LB, touch=Tap} Забрать предмет
									
hint_spirit_storage_touch	{key=ConfirmUI, mouse=LB, touch=Hold}  Select;  {key=InventorySort} Sort		{key=ConfirmUI, mouse=LB, touch=Hold} Sélectionner; {key=InventorySort} Trier	{key=ConfirmUI, mouse=LB, touch=Hold} Auswählen; {key=InventorySort} Sortieren	{key=ConfirmUI, mouse=LB, touch=Hold} Seleccionar; {key=InventorySort} Ordenar	{key=ConfirmUI, mouse=LB, touch=Hold}  Selecionar; {key=InventorySort} Ordenar	{key=ConfirmUI, mouse=LB, touch=Hold}  选择; {key=InventorySort} 排序	{key=ConfirmUI, mouse=LB, touch=Hold}  選択; {key=InventorySort} ソート	{key=ConfirmUI, mouse=LB, touch=Hold} Выбрать; {key=InventorySort} Сортировать
									
hint_quick_wheel_touch	{touch=Drag} Configure;  {touch=Tap} Confirm		{touch=Drag}  Configurer; {touch=Tap} Confirmer	{touch=Drag}  Konfigurieren; {touch=Tap} Bestätigen	{touch=Drag} Configurar; {touch=Tap} Confirmar	{touch=Drag} Configurar; {touch=Tap} Confirmar	{touch=Drag} 装配;  {touch=Tap} 确认	{touch=Drag} 設定;  {touch=Tap} OK	{touch=Drag} Настроить;  {touch=Tap} Подтвердить
hint_map_touch	{key=none, mouse=LB, touch=Tap} Zoom		{key=none, mouse=LB, touch=Tap} Zoomer	{key=none, mouse=LB, touch=Tap} Zoomen	{key=none, mouse=LB, touch=Tap} Acercar	{key=none, mouse=LB, touch=Tap} Zoom	{key=none, mouse=LB, touch=Tap} 缩放	{key=none, mouse=LB, touch=Tap} ズーム	{key=none, mouse=LB, touch=Tap} Увеличить
									
hint_skillbuy_touch	{key=ConfirmUI, touch=Hold} Confirm; {key=Esc} Exit		{key=ConfirmUI, touch=Hold} Confirmer; {key=Esc} Quitter	{key=ConfirmUI, touch=Hold} Bestätigen; {key=Esc} Verlassen	{key=ConfirmUI, touch=Hold} Confirmar; {key=Esc} Salir	{key=ConfirmUI, touch=Hold} Confirmar; {key=Esc} Sair	{key=ConfirmUI, touch=Hold} 确认; {key=Esc} 退出	{key=ConfirmUI, touch=Hold} OK; {key=Esc} 終了	{key=ConfirmUI, touch=Hold} Подтвердить; {key=Esc} Выход
									
hint_inventory_transfer_single_touch	{key=Confirm, touch=Tap} Transfer		{key=Confirm, touch=Tap} Transférer	{key=Confirm, touch=Tap} Transferieren	{key=Confirm, touch=Tap} Transferir	{key=Confirm, touch=Tap} Transferir	{key=Confirm, touch=Tap} 转移	{key=Confirm, touch=Tap} 移す	{key=Confirm, touch=Tap} Перенести
hint_inventory_transfer_touch	{key=Confirm, touch=Tap} Transfer		{key=Confirm, touch=Tap} Transférer	{key=Confirm, touch=Tap} Transferieren	{key=Confirm, touch=Tap} Transferir	{key=Confirm, touch=Tap} Transferir	{key=Confirm, touch=Tap} 转移	{key=Confirm, touch=Tap} 移す	{key=Confirm, touch=Tap} Перенести
									
	// key tag is used to emulate key press, but icon is only shown if touch tag is present.								
hint_place_rotate_touch	{key=Confirm} Rotate		{key=Confirm} Faire pivoter	{key=Confirm} Drehen	{key=Confirm} Rotar	{key=Confirm} Girar	{key=Confirm}旋转	{key=Confirm} 回転	{key=Confirm} Повернуть
hint_saveload_load_touch	{key=ConfirmUI, touch=Hold} Load slot; {key=SpecialAction} Delete slot		{key=ConfirmUI, touch=Hold} Charger la partie; {key=SpecialAction} Supprimer la partie	{key=ConfirmUI, touch=Hold} Platz laden; {key=SpecialAction} Platz löschen; 	{key=ConfirmUI, touch=Hold} Cargar ranura; {key=SpecialAction} Eliminar ranura	{key=ConfirmUI, touch=Hold} Carregar espaço; {key=SpecialAction} Apagar espaço	{key=ConfirmUI, touch=Hold} 读取存档;{key=SpecialAction} 删除存档	{key=ConfirmUI, touch=Hold} スロット読み込み; {key=SpecialAction} スロット削除	{key=ConfirmUI, touch=Hold} Загрузить сохранение; {key=SpecialAction} Удалить сохранение
hint_gamefiles_touch									
hint_menu_magicmanshop_mobile	{key=Esc} Exit		{key=Esc} Quitter	{key=Esc} Verlassen	{key=Esc} Salir	{key=Esc} Sair	{key=Esc} 退出	{key=Esc} 終了	{key=Esc} Выход
									

	EN	COMMENTS	FR	DE	ES	BR	CN	JP	RU
	// NOTIFICATION MESSAGES								
notification_inv_full	Inventory is full		L'inventaire est plein.	Inventar ist voll.	El inventario está lleno.	O inventário está cheio	随身物品栏已满	所持品がいっぱいです	Инвентарь полон.
notification_chest_full	Chest is full		Le coffre est plein.	Truhe ist voll.	El cofre está lleno.	O baú está cheio	箱子已满	収納箱がいっぱいです	Сундук полон.
notification_inv_full_desc	Remove items to free up some space		Retire des objets pour faire de la place.	Entferne Gegenstände, um Platz zu schaffen.	Elimina algún objeto para liberar espacio.	Remova itens para liberar espaço	移除物品以释放一些空间	アイテムを捨ててスペースを作ってください	Освободите место, убрав предметы.
notification_inv_full_ando	Can't activate an Ando Tree while your inventory is full!		Impossible d'activer un arbre Ando quand ton inventaire est plein.	Andobaum kann nicht aktiviert werden, solange dein Inventar voll ist.	No puedes activar un árbol Ando con el inventario lleno.	Não é possível ativar uma Árvore Anciã enquanto seu inventário está cheio!	当你的随身物品栏已满时，无法激活安藤树！	所持品がいっぱいのため、アンドの木を起動できません！	Нельзя активировать Андо Дерево, когда инвентарь полон!
notification_inv_full_shrine	Can't activate a shrine while your inventory is full!		Impossible d'activer un autel quand ton inventaire est plein.	Schrein kann nicht aktiviert werden, solange dein Inventar voll ist.	No puedes activar un santuario con el inventario lleno.	Não é possível ativar um santuário enquanto seu inventário está cheio!	当你的随身物品栏已满时，无法激活神龛！	所持品がいっぱいのため、祭壇を起動できません！	Нельзя активировать Святилище, когда инвентарь полон!
notification_cant_remove_item	This item can’t be removed from the inventory.		Cet objet ne peut pas être retiré de l'inventaire.	Dieser Gegenstand kann nicht aus dem Inventar entfernt werden.	No se puede eliminar este objeto del inventario.	Este item não pode ser removido do inventário.	该物品无法从随身物品栏中移除。	このアイテムは所持品から捨てられません。	Этот предмет нельзя убрать из инвентаря.
notification_chest_not_empty	Chest not empty		Le coffre n'est pas vide.	Truhe ist nicht leer.	El cofre no está vacío.	O baú não está vazio	箱子不是空的	収納箱がからっぽではありません	В сундуке есть предметы.
notification_lab_not_empty	Alchemy lab not empty		Le labo d'alchimie n'est pas vide.	Alchemielabor ist nicht leer.	El laboratorio de alquimia no está vacío.	O laboratório de alquimia não está vazio	魔法实验室不是空的	錬金術ラボがからっぽではありません	В Лаборатории Алхимика есть предметы.
notification_furnace_not_empty	Furnace not empty		Le fourneau n'est pas vide.	Hochofen ist nicht leer.	La fragua no está vacía.	A fornalha não está vazia	锻造炉不是空的	かまどがからっぽではありません	Печь не пуста.
notification_tent_cant_remove	Can't be removed. You must have at least one Home placed.		Impossible de l'enlever. Tu dois avoir au moins un domicile installé.	Kann nicht entfernt werden. Du musst mindestens ein Zuhause platzieren.	No se puede eliminar. Debes tener al menos una casa.	Não é possível remover. Você deve ter pelo menos um lar montado.	无法移除。你必须至少放置一座家庭房屋。	片づけられません。家は必ず1つ必要です。	Нельзя убрать. Необходимо иметь хотя бы один Дом.
notification_barn_cant_remove	Can't be removed. You must have at least one Spirit Barn placed.		Impossible de l'enlever. Tu dois avoir au moins un abri à esprits installé.	Kann nicht entfernt werden. Du musst mindestens eine Geisterscheune platzieren.	No se puede eliminar. Debes tener al menos un establo para espíritus.	Não é possível remover. Você deve ter pelo menos uma Morada dos Espíritos montada.	无法移除。你必须至少放置一个精灵棚。	片づけられません。精霊の小屋は必ず1つ必要です。	Нельзя убрать. Необходимо иметь хотя бы один Амбар.
notification_greenhouse_cant_remove	Can't be removed. You must have at least one Greenhouse placed.		Impossible de l'enlever. Tu dois avoir au moins une serre installée.	Kann nicht entfernt werden. Du musst mindestens ein Gewächshaus platzieren.	No se puede eliminar. Debes tener al menos un invernadero.	Não é possível remover. Você deve ter pelo menos uma Estufa montada.	无法移除。你必须至少放置一座温室。	片づけられません。温室は必ず1つ必要です。	Нельзя убрать. Необходимо иметь хотя бы одну Теплицу.
notification_stall_cant_remove	Stall can't be removed while it's in use.		Une mangeoire ne peut pas être enlevée quand elle est en cours d'utilisation.	Box kann nicht entfernt werden, solange sie in Gebrauch ist.	No se puede eliminar el pesebre mientras esté en uso.	O comedouro não pode ser removido enquanto estiver em uso.	无法移除正在使用的隔间。	使用中の精霊房は片づけられません。	Стойло нельзя убрать, пока оно используется.
notification_nest_cant_remove	Nest can't be removed while there is an egg in it.		Un nid ne peut pas être enlevé quand un œuf s'y trouve.	Nest kann nicht entfernt werden, solange ein Ei darin liegt.	No se puede eliminar el nido mientras haya un huevo dentro.	O ninho não pode ser removido enquanto houver um ovo nele.	当精灵巢中含有精灵蛋时，无法将其移除。	タマゴがある巣は片づけられません。	Гнездо нельзя убрать, пока в нём есть яйцо.
notification_egg_cant_remove	Can't be removed. This egg has already started hatching.		Impossible de l'enlever. Cet œuf a déjà commencé à éclore.	Kann nicht entfernt werden. Aus diesem Ei schlüpft bereits etwas.	No se puede eliminar. El huevo ha empezado a eclosionar.	Não é possível remover. Este ovo já começou a chocar.	无法移除。这颗蛋已经开始孵化了。	片づけられません。このタマゴは既にふ化が始まっています。	Нельзя убрать. Это яйцо уже начало высиживаться.
notification_cant_remove	Can't be removed while it's in use.		Cet élément ne peut pas être enlevé quand il est en cours d'utilisation.	Kann nicht entfernt werden, solange in Gebrauch.	No se puede eliminar mientras esté en uso.	Não é possível enquanto está em uso.	使用期间无法移除。	使用中は片づけられません。	Предмет нельзя убрать, т.к. он используется.
									
									
notification_wrong_item	Wrong item!		Mauvais objet !	Falscher Gegenstand!	¡Objeto equivocado!	Item errado!	物品错误！	アイテムがまちがっています！	Неподходящий предмет!
notification_crafting_not_allowed	I shouldn't be crafting right now.		Je ne devrais pas fabriquer ça maintenant.	Ich sollte jetzt etwas herstellen.	No debería fabricar nada ahora mismo.	Eu não deveria estar criando agora.	我现在不应该做制作工作。	今はクラフトしている場合じゃない。	Я не могу сейчас заниматься крафтом.
									
notification_placeable_cant_place	This item can't be placed here.		Cet objet ne peut pas être placé ici.	Dieser Gegenstand kann hier nicht platziert werden.	Este objeto no se puede colocar aquí.	Este item não pode ser colocado aqui.	该物品不能放置在这里。	このアイテムはここに置けません。	Этот предмет нельзя установить здесь.
									
action_not_permitted	I can't do this here.		Je ne peux pas faire ça ici.	Ich kann das hier nicht tun.	Aquí no puedo hacerlo.	Não posso fazer isso aqui.	我不能在这里做这个。	これはここで使えない。	Я пока не могу это сделать.
action_not_permitted_in_tutorial	Wait, I need this!		Non, j'en ai besoin !	Warte, ich brauche das!	Espera, ¡lo necesito!	Espere, eu preciso disso!	等等，我需要这个！	待って、これは必要だよ！	Подожди, это мне нужно!
									
notification_barn_spirit_relocated	The Spirit will now be assigned to this stall.		Cet esprit est désormais affecté à cette mangeoire.	Der Geist wird jetzt dieser Box zugewiesen.	El espíritu será asignado a este pesebre.	O Espírito agora será atribuído a este comedouro.	现在，精灵将被分配到这个隔间。	精霊がこの房に割り当てられます。	Дух теперь будет находиться в этом стойле.
									
notification_item_picked_up	Item picked up		Objet placé dans l'inventaire	Gegenstand aufgenommen.	Objeto recogido.	Item recolhido	物品已拾取	拾ったアイテム	Найден предмет
notification_item_discovered	New item discovered		Nouvel objet découvert	Neuen Gegenstand entdeckt.	Nuevo objeto descubierto.	Novo item descoberto	发现新物品	新しく見つけたアイテム	Найден новый предмет
notification_item_lost	Item lost		Objet perdu	Gegenstand verloren.	Objeto perdido.	Item perdido	物品丢失	失ったアイテム	Предмет потерян
									
notification_cant_craft	Can't craft item		Impossible de fabriquer cet objet.	Kann Gegenstand nicht herstellen.	No se puede fabricar.	Não é possível criar o item	无法制作物品	アイテムクラフト不可	Невозможно изготовить
notification_cant_craft_desc	Not enough materials		Pas assez de matériaux.	Nicht genug Materialien.	Faltan materiales.	Faltam materiais	材料不够	素材不足	Недостаточно материалов
notification_item_crafted	Item crafted!		Objet fabriqué !	Gegenstand hergestellt!	¡Objeto fabricado!	Item criado!	物品制作完成！	アイテムのクラフト完了！	Предмет изготовлен!
notification_item_added_to_inventory	{item} added to the inventory		{item} : objet ajouté à l'inventaire.	{item} dem Inventar hinzugefügt.	Añadido al inventario: {item}.	Adicionou {item} ao inventário	{item} 已添加至随身物品栏	所持品に追加: {item}	{item}: добавлено в инвентарь
notification_cant_craft_already_own	You already own this tool		Tu possèdes déjà cet outil.	Du besitzt dieses Werkzeug bereits.	Ya tienes esta herramienta.	Você já tem esta ferramenta	你已经拥有这个工具	この道具は既に持っています	У вас уже есть этот инструмент
									
notification_lab_furnace_wrong_item	There aren’t any slots available for this item		Il n'y a pas d'emplacement disponible pour cet objet.	Für diesen Gegenstand sind nicht keine Plätze frei.	No hay ninguna ranura disponible para este objeto.	Não há espaços disponíveis para este item	没有该物品可用的栏位	このアイテムが使えるスロットがありません	Нет подходящих слотов для этого предмета
notification_lab_collect	Collect the concoction first!		Récupère d'abord la préparation !	Sammle zuerst die Mixtur ein.	¡Primero recoge el brebaje!	Colete a preparação primeiro!	先收取调制糊糊！	先に調合物を回収してください！	Сначала заберите готовую настойку!
UNUSED_notification_lab_finished	Brewing finished!		Préparation terminée !	Brauen abgeschlossen!	¡Elaboración terminada!	Fabricação finalizada!	熬煮完毕！	醸造完了！	Настойка готова!
notification_furnace_collect	Collect the crafted item first!		Récupère d'abord l'objet fabriqué !	Sammle zuerst den hergestellten Gegenstand ein.	¡Primero recoge el objeto fabricado!	Colete o item criado primeiro!	先收取制作好的物品！	先にクラフトしたアイテムを回収してください！	Сначала соберите изготовленный продукт!
UNUSED_notification_furnace_finished	Furnace finished!		Transformation au fourneau terminée !	Schmelzen fertig!	¡La fragua ha terminado!	Fornalha finalizada!	锻造炉完成了！	かまど完了！	Печь неактивна
									
notification_item_cant_sell	This item can't be sold!		Cet objet ne peut pas être vendu.	Dieser Gegenstand kann hier nicht verkauft werden.	¡No se puede vender este objeto!	Este item não pode ser vendido!	该物品无法出售！	このアイテムは売れません！	Этот предмет нельзя продать!
notification_item_sold	Shipped x{quantity} {item}		Expédition : {item} x{quantity}	{quantity}x {item} geliefert.	Envío: {item} ({quantity})	Enviou {item} x{quantity}	已运输 x {quantity} {item}	出荷 x{quantity} {item}	Продано: {quantity} {item}
									
notification_cant_fly	Can’t fly here! Stand on an edge and face the sky.		Impossible de voler ici. Place-toi devant un bord et fais face au ciel.	Du kannst hier nicht fliegen! Stell dich an eine Kante und schau in den Himmel.	¡Aquí no puedes volar! Acércate a un borde y mira al cielo.	Não dá para voar aqui! Fique em uma borda de frente para o céu.	这里不能飞行！站在边缘处，面向天空。	ここでは飛べません！ 端に立ち、空の方を向いてください。	Чтобы взлететь, встаньте на край и повернитесь в сторону неба.
notification_cant_fly_over_water	Can’t fly here! Place bridges to cross water.		Impossible de voler ici. Place des ponts pour franchir l'eau.	Du kannst hier nicht fliegen! Platziere Brücken, um das Wasser zu überqueren.	¡Aquí no puedes volar! Construye puentes para cruzar el agua.	Não dá para voar aqui! Coloque pontes para atravessar a água.	这里不能飞行！放置桥梁以跨越水域。	ここでは飛べません！ 橋を設置して水面を渡りましょう。	Нельзя взлетать над водой. Чтобы пересечь воду, постройте мост.
